Actor1Code,Actor1Name,Actor1Geo_ADM1Code,Actor2Code,Actor2Name,Actor2Geo_ADM1Code,ActionGeo_FullName,ActionGeo_ADM1Code,Year,SQLDATE
CVL,ETHNIC GROUP,BK02,,,,"Banja Luka, Republika Srpska, Bosnia-Herzegovina",BK02,2001,20010507
MKD,MACEDONIAN,MKD4,,,,"Gostivar, Gostivar, Macedonia",MKD4,2001,20010727
COP,POLICE,SF02,,,,"Durban, KwaZulu-Natal, South Africa",SF02,2001,20010824
ALB,ALBANIAN,AL,,,,Albania,AL,2001,20010317
ARM,ARMENIAN,AM08,AZE,AZERBAIJANI,AJ00,"Megri, Syunik', Armenia",AM08,2001,20010227
ISRGOV,ISRAEL,IS00,ISRGOV,ARIEL SHARON,IS00,"Jerusalem, Israel (general), Israel",IS00,2001,20010711
PSEMED,PALESTINIAN,IS,ISR,ISRAEL,IS,Israel,IS,2001,20010116
GOV,PRESIDENT,BK01,,,,,RB,2001,20010110
IMGSEAMOS,MILF,RP21,MOS,MUSLIM,RP21,"Mindanao, Cebu, Philippines",RP21,2001,20011029
,,,HRV,CROAT,HR,Croatia,HR,2001,20010905
HRV,CROAT,HR,MOS,MUSLIM,BK02,,RB,2001,20011003
MILCOP,MILITARY POLICE,MKC3,,,,"Prsovce, Macedonia (general), Macedonia",MK00,2001,20011112
,,,HRV,CROAT,HR,"Amsterdam, Noord-Holland, Netherlands",NL07,2001,20010905
ALB,ALBANIA,AL,CVL,POPULATION,RB,Albania,AL,2001,20010321
ALB,ALBANIAN,NL,,,,Netherlands,NL,2001,20010627
MIL,COMMANDER,RB,,,,,RB,2001,20010319
IRN,KURDISTAN,IZ10,,,,"Muhammad Said, DiyaláZ, Iraq",IZ10,2001,20011220
RUSGOV,RUSSIAN,LG25,,,,"Riga, Riga, Latvia",LG25,2001,20010711
MKD,MACEDONIAN,MK00,,,,"Trebos, Macedonia (general), Macedonia",MK00,2001,20010423
srp,SERBS,RB00,,,,Croatia,HR,2001,20011003
RUS,RUSSIA,RSCI,RUSMIL,RUSSIA,RS48,"Moscow, Moskva, Russia",RS48,2001,20010224
srp,SERBS,BK02,,,,"Omarska, Republika Srpska, Bosnia-Herzegovina",BK02,2001,20010319
IRQ,KIRKUK,IR15,,,,"Kurdistan, Khuzestan, Iran",IR15,2001,20011228
,,,HRV,CROAT,NL07,"Amsterdam, Noord-Holland, Netherlands",NL07,2001,20010905
HRVGOV,CROATIA,HR08,HRV,CROATIA,HR08,,RB,2001,20010706
IRQ,IRAQ,IZ05,MOSSFI,SUFI,IZ05,"Dukan, As Sulaymaniyah, Iraq",IZ05,2001,20010514
MIL,MILITARY,RB00,HRV,CROATIA,HR12,"Ponte, Primorsko-Goranska, Croatia",HR12,2001,20010705
ALB,ALBANIAN,AL,MIL,MILITARY,RB00,Albania,AL,2001,20011212
UAF,TERRORIST,JA,,,,"Seoul, Soul-t'ukpyolsi, South Korea",KS11,2001,20011109
GOV,GOVERNMENT,IS,ISR,ISRAEL,IS,Israel,IS,2001,20010906
PSE,PALESTINIAN,IS,ISR,ISRAELI,IS,Israel,IS,2001,20010211
CAF,BANGUI,CT18,GOV,GOVERNMENT,CT18,"Bangui, Bangui, Central African Republic",CT18,2001,20010605
GOV,AUTHORITIES,ID00,IDN,INDONESIAN,ID00,"Borneo, Indonesia (general), Indonesia",ID00,2001,20010228
IRN,KURDISTAN,IR15,,,,"Kurdistan, Khuzestan, Iran",IR15,2001,20011214
IRQ,IRAQ,IZ13,NGOHRIAMN,AMNESTY INTERNATIONAL,IZ13,"Kirkuk, At Ta'mim, Iraq",IZ13,2001,20010811
MKD,MACEDONIA,MK00,,,,"Skopje, Macedonia (general), Macedonia",MK00,2001,20010627
CVL,VILLAGE,MK01,,,,"Aracinovo, Aracinovo, Macedonia",MK01,2001,20011114
NGALEG,NIGERIA,NI26,CVL,ETHNIC GROUP,NI00,United Kingdom,UK,2001,20011026
SCGSRB,SERBIA,RI00,,,,"Presheve, , Serbia",RI00,2001,20010104
RUS,RUSSIA,RSCI,CVL,VILLAGE,RSCI,"Sernovodsk, RSJA, Russia",RSJA,2001,20010713
,,,COP,POLICE,RB,,RB,2001,20010601
AFR,AFRICA,SF,CVL,COMMUNITY,SF,South Africa,SF,2001,20010322
ARM,ARMENIAN,AM08,,,,"Megri, Syunik', Armenia",AM08,2001,20010227
GOV,GOVERNMENT,IR26,ALB,ALBANIAN,AL,"Tehran, Tehran, Iran",IR26,2001,20010731
,,,NLD,NETHERLANDS,NL11,,RB,2001,20010105
IRN,TEHRAN,IZ,IRQ,IRAQI KURDISTAN,IZ,Iraq,IZ,2001,20010707
MOSCVL,MUSLIM,BK02,,,,"Zaric, Republika Srpska, Bosnia-Herzegovina",BK02,2001,20010910
GOV,PRIME MINISTER,IS00,PSE,PALESTINIAN,IS00,"Jerusalem, Israel (general), Israel",IS00,2001,20010312
ALBRAD,ALBANIAN,AL,,,,Albania,AL,2001,20010219
JUD,PROSECUTOR,BK01,,,,"Visegrad, Federation of Bosnia and Herzegovina, Bosnia-Herzegovina",BK01,2001,20010910
HRV,CROAT,HR21,srp,SERBS,RB,,RB,2001,20010716
che,CHECHEN,RS17,RUS,RUSSIAN,RS17,"Chechen, Dagestan, Russia",RS17,2001,20010323
MED,CORRESPONDENT,MK,MKD,MACEDONIAN,AL,Albania,AL,2001,20010726
MKD,MACEDONIAN,BU52,,,,"Tetovo, Razgrad, Bulgaria",BU52,2001,20011229
IRQ,KIRKUK,IZ13,,,,"Abd Al-Aziz, At Ta'mim, Iraq",IZ13,2001,20011228
IRQGOV,IRAQ,IZ13,IRQ,KIRKUK,IZ13,"Kirkuk, At Ta'mim, Iraq",IZ13,2001,20010907
MKDCVL,MACEDONIAN,MK00,,,,"Skopje, Macedonia (general), Macedonia",MK00,2001,20010724
NGALEG,NIGERIA,NI26,CVL,ETHNIC GROUP,NI00,"Benue, Nigeria (general), Nigeria",NI00,2001,20011026
GOV,GOVERNMENT,SO02,,,,"Mogadishu, Banaadir, Somalia",SO02,2001,20010726
ALBRAD,ALBANIA,AL,,,,Albania,AL,2001,20010218
ARM,ARMENIA,AM,ARMCVL,ARMENIA,AM,"Nagornyy Karabakh, Azerbaijan (general), Azerbaijan",AJ00,2001,20011114
LEG,LEGISLATOR,US,GOV,GOVERNMENT,NI00,"Benue, Nigeria (general), Nigeria",NI00,2001,20011025
MIL,COMMANDER,AF24,,,,"Zabul, Zabol, Afghanistan",AF28,2001,20010316
NGOHRIAMN,AMNESTY INTERNATIONAL,IR15,kur,KURD,IR15,"Kurdistan, Khuzestan, Iran",IR15,2001,20010811
JUD,TRIBUNAL,RB00,,,,"Belgrade, Serbia (general),",RB00,2001,20010630
CVL,POPULATION,RS48,,,,"Moscow, Moskva, Russia",RS48,2001,20011104
DEU,GERMANY,GM,,,,Germany,GM,2001,20010321
PSE,PALESTINIAN,IS,ISR,ISRAEL,IS,Israel,IS,2001,20010127
ALB,ALBANIAN,MK,MKD,MACEDONIA,NL,Netherlands,NL,2001,20010627
CVL,POPULATION,US,ALB,ALBANIAN,UK,United Kingdom,UK,2001,20010617
ALB,ALBANIAN,AL47,CVL,VILLAGE,MK00,"Skopje, Macedonia (general), Macedonia",MK00,2001,20010712
ZAF,DURBAN,SF02,GOV,GOVERNMENT,SF02,"Nahariya, Ha?afon, Israel",IS03,2001,20010911
ALB,ALBANIAN,AL,MKD,SKOPJE,MK00,Albania,AL,2001,20010705
PSEGOV,PALESTINIAN,IS,ISR,ISRAELI,IS,Israel,IS,2001,20010917
REL,RELIGION,RB,,,,Israel,IS,2001,20011215
RUSGOV,RUSSIAN,RS,,,,Russia,RS,2001,20010711
CVL,ETHNIC GROUP,NI00,,,,"Middle Belt, Nigeria (general), Nigeria",NI00,2001,20011219
ALBUAF,ALBANIA,AL,MKDLEG,MACEDONIA,MK00,"Ratae, Macedonia (general), Macedonia",MK00,2001,20010727
CVL,POPULATION,RB,NLDJUD,THE HAGUE,RB,,RB,2001,20010807
day,DAYAK,ID13,mad,MADURESE,ID13,"Palangkaraya, Kalimantan Tengah, Indonesia",ID13,2001,20010309
ISR,ISRAEL,IS05,PSE,PALESTINIAN,IS05,"Tel Aviv, Tel Aviv, Israel",IS05,2001,20010911
ALB,ALBANIA,AL,,,,"Skopje, Macedonia (general), Macedonia",MK00,2001,20010627
UISLEG,THE INTERNATIONAL COMMUNITY,MK00,MKD,MACEDONIAN,CH,China,CH,2001,20011211
ZWE,ZIMBABWE,AS,AGR,FARMER,AS,Australia,AS,2001,20010817
UAF,TERRORIST,MKE8,,,,"Ohrid, Ohrid, Macedonia",MKE2,2001,20010730
MOS,MUSLIM,YI,HRV,CROAT,YI,,YI,2001,20010829
MKDCOP,MACEDONIAN,MK00,MKD,MACEDONIAN,MK00,"Trebos, Macedonia (general), Macedonia",MK00,2001,20010423
MKD,MACEDONIAN,MKE2,CRM,CRIMINAL,AL,Albania,AL,2001,20011005
srp,SERBS,BK02,,,,"Republika Srpska, Republika Srpska, Bosnia-Herzegovina",BK02,2001,20010711
,,,srp,SERBS,RB,,RB,2001,20010705
MOS,MUSLIM,BK,,,,Bosnia-Herzegovina,BK,2001,20010809
MILCOP,MILITARY POLICE,YI,,,,"Zagreb, Zagreb, Grad, Croatia",HR21,2001,20010715
srp,SERBS,BK02,HRVCVL,CROAT,HR,Croatia,HR,2001,20011127
HRV,CROATIA,BK02,,,,"Bosanski Samac, Republika Srpska, Bosnia-Herzegovina",BK02,2001,20010312
MKDGOV,MACEDONIA,MK00,ALB,ALBANIAN,AL,Albania,AL,2001,20010227
MKD,SKOPLJE,MK00,ALB,ALBANIAN,AL,Albania,AL,2001,20010227
MKD,MACEDONIA,MK00,,,,"Ratae, Macedonia (general), Macedonia",MK00,2001,20010808
MKD,MACEDONIA,MK00,GOV,PRESIDENT,MK00,"Skopje, Macedonia (general), Macedonia",MK00,2001,20010725
PSE,PALESTINE,SF02,,,,"Durban, KwaZulu-Natal, South Africa",SF02,2001,20010830
ARMCVL,ARMENIAN,AM,,,,Armenia,AM,2001,20010323
CVL,VILLAGE,HR,HRV,CROAT,HR,Croatia,HR,2001,20011130
JUD,JUDGE,RB00,,,,"Belgrade, Serbia (general),",RB00,2001,20010626
ALB,ALBANIAN,AL,MKD,MACEDONIAN,MK,Albania,AL,2001,20010301
COP,POLICE,AL,ALB,ALBANIAN,AL,Albania,AL,2001,20010414
CVL,VILLAGE,BK,HRV,CROAT,HR,Croatia,HR,2001,20011130
MOS,MUSLIM,BK01,,,,"Belgrade, Serbia (general),",RB00,2001,20010110
CVL,CIVILIAN,RB00,GOV,GOVERNMENT,RB00,"Bosanski Samac, Republika Srpska, Bosnia-Herzegovina",BK02,2001,20010312
EUR,EUROPEAN,RO10,,,,"Budapest, Budapest, Hungary",HU05,2001,20011108
GOV,DICTATOR,BK,MOS,MUSLIM,BK,Kosovo,KV,2001,20010702
MOS,MUSLIM,HR,HRV,CROATIA,BK02,Croatia,HR,2001,20010616
FRAGOVMIL,FRENCH,MK,,,,Macedonia,MK,2001,20010813
GOV,REGIME,TT,,,,United States,US,2001,20010706
HRV,CROAT,BK02,MOS,MUSLIM,BK02,,RB,2001,20011003
USA,UNITED STATES,USDC,MIL,MILITARY,USDC,"White House, District of Columbia, United States",USDC,2001,20010918
ALB,ALBANIAN,BK,EUR,EUROPEAN,BK,"Texas, United States",USTX,2001,20011103
PSE,PALESTINIAN,EG11,,,,"Arab League, Al Qahirah, Egypt",EG11,2001,20010910
SCGSRB,SERBIA,RB00,,,,"Belgrade, Serbia (general),",RB00,2001,20010104
,,,HRV,CROATIA,BK02,"Prijedor, Republika Srpska, Bosnia-Herzegovina",BK02,2001,20011012
ISR,ISRAEL,IS,,,,Israel,IS,2001,20010917
CRM,CRIMINAL,LO02,,,,"Belgrade, Serbia (general),",RB00,2001,20010402
MKDCVL,MACEDONIAN,MK00,,,,Albania,AL,2001,20010724
ALB,ALBANIAN,AL,srp,SERBS,RB00,"Belgrade, Serbia (general),",RB00,2001,20010209
UAF,TERRORIST,PK,,,,Pakistan,PK,2001,20010809
srp,SERBS,BK02,MOS,MUSLIM,BK01,Croatia,HR,2001,20011127
UISLEG,THE INTERNATIONAL COMMUNITY,MK00,MKD,MACEDONIAN,MK00,"Idrizovo, Macedonia (general), Macedonia",MK00,2001,20011211
ALB,ALBANIAN,AL,IGOWSTNAT,NATO,MK00,Albania,AL,2001,20010724
HRV,CROATIA,HR04,srp,SERBS,HR04,"Brijuni, Istarska, Croatia",HR04,2001,20010807
AGR,FARMER,MK00,ALB,ALBANIAN,MK00,"Rahmanli, Macedonia (general), Macedonia",MK00,2001,20010622
MED,SPOKESMAN,PK03,PAK,PAKISTAN,PK03,"Kashmir, North-West Frontier, Pakistan",PK03,2001,20010711
ALB,ALBANIAN,AL40,MKD,MACEDONIAN,MK00,"Cipa, Berat, Albania",AL40,2001,20010531
IRQ,KIRKUK,IS00,,,,"Jerusalem, Israel (general), Israel",IS00,2001,20011226
ITA,MILAN,IT09,srp,SERBS,RB,"Bosanski Samac, Republika Srpska, Bosnia-Herzegovina",BK02,2001,20010731
MKD,MACEDONIAN,MK36,,,,Albania,AL,2001,20010908
CVL,ETHNIC GROUP,NI00,,,,"Fulani, Nigeria (general), Nigeria",NI00,2001,20011206
ALB,ALBANIAN,RS47,MKD,MACEDONIAN,RS47,"Likovo, Moskovskaya Oblast', Russia",RS47,2001,20010502
MKD,MACEDONIA,MK00,ALB,ALBANIAN,MK00,"Skopje, Macedonia (general), Macedonia",MK00,2001,20010627
IGOWSTNAT,NATO,RB00,ALB,ALBANIAN,AL,Albania,AL,2001,20010223
SCGSRB,SERBIA,RB00,,,,"Belgrade, Serbia (general),",RB00,2001,20011106
ALB,ALBANIA,AL,IGOWSTNATMIL,NATO,AL,Albania,AL,2001,20010801
ALBCVL,ALBANIAN,AL,,,,Albania,AL,2001,20010322
RUS,RUSSIA,RS48,ALB,ALBANIAN,RS48,"Moscow, Moskva, Russia",RS48,2001,20010616
,,,MIL,ARMY,RB,,RB,2001,20010319
srp,SERBS,BK02,,,,"Republika Srpska, Republika Srpska, Bosnia-Herzegovina",BK02,2001,20010705
NGALEG,NIGERIA,NI26,NGA,NIGERIA,US,"Benue State, Benue, Nigeria",NI26,2001,20011025
SCGSRB,SERBIA,RI,,,,Serbia,RI,2001,20010103
CVL,POPULATION,RI,srp,SERBS,HR,Croatia,HR,2001,20010709
ALB,ALBANIAN,AL46,MKD,MACEDONIAN,MKE2,"Korca, Qarku Korce, Albania",AL46,2001,20010601
ALB,ALBANIAN,AL46,MKD,MACEDONIAN,MKE2,"Korca, Qarku Korce, Albania",AL46,2001,20010502
srp,SERBS,RB00,COP,DEPUTIES,RB00,"Belgrade, Serbia (general),",RB00,2001,20010702
CAF,BANGUI,LY,,,,Libya,LY,2001,20010606
AZE,AZERBAIJANI,AJ00,,,,"Nagornyy Karabakh, Azerbaijan (general), Azerbaijan",AJ00,2001,20010713
srp,SERBS,BK02,,,,"Bosanski Samac, Republika Srpska, Bosnia-Herzegovina",BK02,2001,20010730
RAD,EXTREMIST,MK00,MKD,MACEDONIA,MK00,"Skopje, Macedonia (general), Macedonia",MK00,2001,20011228
MKD,MACEDONIA,MKD4,ALB,ALBANIAN,AL,Albania,AL,2001,20011213
ALB,ALBANIAN,AL,srp,SERBS,AL,Albania,AL,2001,20010218
ALB,ALBANIAN,AL,MKD,MACEDONIAN,MK,Macedonia,MK,2001,20010726
GOV,PRESIDENT,BK,,,,Bosnia-Herzegovina,BK,2001,20010111
MOS,MUSLIM,HR,HRV,CROAT,HR,Croatia,HR,2001,20010616
JUD,PROSECUTOR,BK02,,,,"Omarska, Republika Srpska, Bosnia-Herzegovina",BK02,2001,20011101
MED,NEWSPAPER,IZ15,kur,KURD,IZ15,"Barda Rash, NinawáZ, Iraq",IZ15,2001,20010730
MKD,MACEDONIAN,MK00,MKDCOP,MACEDONIA,MK00,"Trebos, Macedonia (general), Macedonia",MK00,2001,20010423
PSE,PALESTINIAN,USDC,,,,"Washington, District of Columbia, United States",USDC,2001,20010712
ALB,ALBANIA,AL,GOV,REGIME,AL,Albania,AL,2001,20010314
HRV,CROATIA,BK02,,,,,RB,2001,20011003
FRA,FRANCE,FRA5,HRV,CROAT,FRA5,"Castello, Corse, France",FRA5,2001,20010110
ISR,ISRAEL,IS05,PSE,PALESTINIAN,IS05,"Tel Aviv, Tel Aviv, Israel",IS05,2001,20010619
IRQ,IRAQI,IZ11,IRQGOV,IRAQ,IZ11,"Rawanduz, Liwa' Irbil, Iraq",IZ11,2001,20010811
MKD,MACEDONIA,MK00,ALB,ALBANIAN,MK00,"Tanusevci, Macedonia (general), Macedonia",MK00,2001,20010227
srp,SERBS,RB00,COP,DEPUTIES,BK,"Belgrade, Serbia (general),",RB00,2001,20010702
srp,SERBS,US,GOV,REGIME,TT,United States,US,2001,20010706
EGY,CAIRO,EG11,ISR,ISRAEL,IS,Israel,IS,2001,20010717
srp,SERBS,AL,ALB,ALBANIA,AL,Albania,AL,2001,20010214
NLD,THE HAGUE,AL,ALB,ALBANIAN,AL,Albania,AL,2001,20010731
MOS,MUSLIM,BK,,,,"Washington, District of Columbia, United States",USDC,2001,20010628
IRQ,IRAQ,IZ,,,,Iraq,IZ,2001,20010713
MKD,MACEDONIA,MK,,,,Macedonia,MK,2001,20010725
HRV,CROAT,US,USA,UNITED STATES,AF,Afghanistan,AF,2001,20010930
CVL,POPULATION,US,PSE,PALESTINE,US,United States,US,2001,20010828
IDN,JAKARTA,ID00,,,,"Kalimantan, Indonesia (general), Indonesia",ID00,2001,20010228
IRQ,IRAQI,IZ05,kur,KURD,IZ05,"Darband-I Khan, As Sulaymaniyah, Iraq",IZ05,2001,20010105
NGOHRIAMN,AMNESTY INTERNATIONAL,IZ13,kur,KURD,IZ13,"Kirkuk, At Ta'mim, Iraq",IZ13,2001,20010811
ALBRAD,ALBANIAN,AL,srp,SERBS,AL,Albania,AL,2001,20010218
IRQGOV,IRAQI,IZ,,,,Iraq,IZ,2001,20011229
MOS,MUSLIM,RB,COP,POLICE,BK02,"Banja Luka, Republika Srpska, Bosnia-Herzegovina",BK02,2001,20010601
ISR,ISRAEL,IS05,,,,"Tel Aviv, Tel Aviv, Israel",IS05,2001,20010412
srp,SERBS,BK,,,,Bosnia-Herzegovina,BK,2001,20010710
HRV,CROATIA,HR21,,,,"Zagreb, Zagreb, Grad, Croatia",HR21,2001,20010726
IRQ,IRAQ,IZ10,,,,"Muhammad Said, DiyaláZ, Iraq",IZ10,2001,20011023
MKD,SKOPJE,MK00,,,,"Skopje, Macedonia (general), Macedonia",MK00,2001,20011206
ALB,ALBANIAN,MK00,,,,"Skopje, Macedonia (general), Macedonia",MK00,2001,20010430
MOS,MUSLIM,RB00,,,,"Belgrade, Serbia (general),",RB00,2001,20011108
RUS,RUSSIA,US,ALB,ALBANIAN,RB00,Albania,AL,2001,20010617
SCGSRB,SERBIA,AL40,,,,"Korita, Berat, Albania",AL40,2001,20010828
CVL,RESIDENTS,ID13,mad,MADURESE,ID13,"Sampit, Kalimantan Tengah, Indonesia",ID13,2001,20010809
HRV,CROATIA,RB00,,,,"Belgrade, Serbia (general),",RB00,2001,20010301
HRV,CROAT,HR,MOS,MUSLIM,BK02,,RB,2001,20011012
haz,HAZARA,AF10,,,,"Hazaras, Helmand, Afghanistan",AF10,2001,20010102
ALB,ALBANIA,AL45,SCGSRB,SERBIA,RI00,"Presheve, , Serbia",RI00,2001,20010104
USA,WASHINGTON,USDC,USAGOV,UNITED STATES,USDC,"Washington, District of Columbia, United States",USDC,2001,20010712
ALB,ALBANIA,AL,,,,"Belgrade, Serbia (general),",RB00,2001,20010221
IGOUNOREF,THE UN,RB,,,,,RB,2001,20010221
srp,SERBS,BK02,,,,"Bosanski Samac, Republika Srpska, Bosnia-Herzegovina",BK02,2001,20010731
IRN,IRAN,IR26,,,,"Tehran, Tehran, Iran",IR26,2001,20010701
CVL,POPULATION,RB00,ALB,ALBANIAN,AL,Albania,AL,2001,20010617
IGOWSTNAT,NATO,BK,,,,Bosnia-Herzegovina,BK,2001,20010425
MED,SPOKESMAN,IN12,kas,KASHMIRI,IN12,"Kashmir, Jammu and Kashmir, India",IN12,2001,20010709
CVL,POPULATION,RB00,ALB,ALBANIAN,RS48,"Moscow, Moskva, Russia",RS48,2001,20010617
CVL,COMMUNITY,AL,IGOUNOREFHCR,UNHCR,AL,Albania,AL,2001,20010219
MKD,MACEDONIAN,MK,ALB,ALBANIAN,MK,Macedonia,MK,2001,20010627
MOS,MUSLIM,BK02,HRV,CROAT,HR,"Bosanski Samac, Republika Srpska, Bosnia-Herzegovina",BK02,2001,20010312
MKD,MACEDONIAN,MK00,ALB,ALBANIAN,AL,Albania,AL,2001,20010503
MKD,MACEDONIA,MK00,,,,"Vejce, Macedonia (general), Macedonia",MK00,2001,20011122
COP,DEPUTIES,BK,,,,"Belgrade, Serbia (general),",RB00,2001,20010702
MKD,MACEDONIAN,UK,,,,United Kingdom,UK,2001,20010727
AGR,FARMER,MK00,ALB,ALBANIAN,AL48,"Sanxhak, Qarku i Lezhes, Albania",AL48,2001,20010622
MKD,MACEDONIA,GM,UAF,TERRORIST,MK,Macedonia,MK,2001,20010728
MKD,MACEDONIAN,MK,CVL,VILLAGE,MK,Macedonia,MK,2001,20010826
RUS,RUSSIA,RS48,ALB,ALBANIAN,AL,Albania,AL,2001,20010617
ALB,ALBANIAN,AL,MKD,MACEDONIA,AL,Albania,AL,2001,20010601
IRN,KURDISTAN,IZ05,,,,"Sulaymaniyah, As Sulaymaniyah, Iraq",IZ05,2001,20010202
MOS,MUSLIM,MK00,MKD,SKOPJE,MK00,"Skopje, Macedonia (general), Macedonia",MK00,2001,20010829
RUS,TATARSTAN,RS12,RUSPTY,RUSSIA,RS12,Afghanistan,AF,2001,20011128
UIS,THE INTERNATIONAL COMMUNITY,AL,,,,Albania,AL,2001,20010516
ALB,ALBANIAN,AL,UIS,THE INTERNATIONAL COMMUNITY,RB00,Albania,AL,2001,20010317
srp,SERBS,RB,,,,,RB,2001,20010621
PTY,POLITICIAN,YI,,,,,YI,2001,20010629
CVL,CIVILIAN,BK02,GOV,GOVERNMENT,RB00,"Belgrade, Serbia (general),",RB00,2001,20010312
HRVGOV,CROATIAN,HR08,srp,SERBS,RB,,RB,2001,20010706
ZAF,DURBAN,SF02,ISR,ISRAELI,IS03,"Durban, KwaZulu-Natal, South Africa",SF02,2001,20010911
MIL,ARMY,PL,COP,POLICE FORCE,MK00,Poland,PL,2001,20010308
MED,MEDIA,MK00,ALBCVL,ALBANIAN,AL,Albania,AL,2001,20010820
UAF,TERRORIST,MK00,,,,"Gajre, Macedonia (general), Macedonia",MK00,2001,20010730
MOS,ISLAMIC,MK00,CVL,VILLAGE,MK00,"Skopje, Macedonia (general), Macedonia",MK00,2001,20010514
GOV,GOVERNMENT,SF02,ISR,ISRAEL,IS,Israel,IS,2001,20010910
AFR,AFRICA,SF02,ZAF,DURBAN,SF02,"Durban, KwaZulu-Natal, South Africa",SF02,2001,20010726
CVL,POPULATION,USDC,PSE,PALESTINE,USDC,"Washington, District of Columbia, United States",USDC,2001,20010704
MIL,COMMANDER,HR,,,,Croatia,HR,2001,20010319
IDN,JAKARTA,ID00,COP,POLICE,ID00,"Kalimantan, Indonesia (general), Indonesia",ID00,2001,20010228
PSE,PALESTINIAN,IS00,ISRGOV,ARIEL SHARON,IS00,"Arab League, Al Qahirah, Egypt",EG11,2001,20010711
MOS,MUSLIM,MK00,MKD,SKOPJE,MK00,"Vardar, Macedonia (general), Macedonia",MK00,2001,20010829
ALB,ALBANIA,AL50,,,,"Belgrade, Serbia (general),",RB00,2001,20010112
TUR,TURKEY,TU68,kur,KURD,IZ15,"Sinjar, NinawáZ, Iraq",IZ15,2001,20010730
ARM,ARMENIA,AM,AZE,AZERBAIJAN,AM,"Nagornyy Karabakh, Azerbaijan (general), Azerbaijan",AJ00,2001,20011114
CVL,POPULATION,RB,ALB,ALBANIAN,RB,,RB,2001,20010228
MIL,MILITARY,RS17,che,CHECHEN,RS17,"Chechen, Dagestan, Russia",RS17,2001,20010323
ISR,ISRAEL,SF02,PSE,PALESTINIAN,SF02,"Durban, KwaZulu-Natal, South Africa",SF02,2001,20010827
SDN,SUDAN,SU29,nba,NUBA,SU29,"Khartoum, Al Khartum, Sudan",SU29,2001,20010528
ISRMED,JERUSALEM POST,USDC,ISR,ISRAELI,USDC,"Washington, District of Columbia, United States",USDC,2001,20010703
UIS,THE INTERNATIONAL COMMUNITY,BK,,,,Bosnia-Herzegovina,BK,2001,20011003
HRV,CROAT,HR19,MOS,MUSLIM,HR19,"Mostar, Zadarska, Croatia",HR19,2001,20010705
srp,SERBS,HR21,,,,,RB,2001,20010504
HRV,CROATIA,RI00,SCGSRB,SERBIA,RI00,"Vojvodina, , Serbia",RI00,2001,20010117
AFR,AFRICA,SF02,ISR,ISRAEL,IS03,"Nahariya, Ha?afon, Israel",IS03,2001,20010911
GBR,BRITAIN,UKE4,,,,"Essex, Essex, United Kingdom",UKE4,2001,20010328
srp,SERBS,BK02,HRV,CROAT,HR,Croatia,HR,2001,20011127
CVL,POPULATION,BK02,srp,SERBS,RB00,"Belgrade, Serbia (general),",RB00,2001,20010709
MOSSFI,SUFI,IZ18,IRQ,IRAQI,IZ18,"Tuz Khurmatu, Sala? ad Din, Iraq",IZ18,2001,20010325
PAK,PAKISTANI,PK04,CVL,COMMUNITY,PK04,"Lahore, Punjab, Pakistan",PK04,2001,20010618
srp,SERBS,RB00,,,,"Belgrade, Serbia (general),",RB00,2001,20011003
MED,CORRESPONDENT,AL,MKD,MACEDONIAN,MK,Macedonia,MK,2001,20010726
MOS,MUSLIM,FI,CVL,VILLAGE,FI,Finland,FI,2001,20010226
ALB,ALBANIAN,MK,MKDGOV,MACEDONIAN,MK,Macedonia,MK,2001,20010301
MOS,MUSLIM,BK01,srp,SERBS,RB00,"Belgrade, Serbia (general),",RB00,2001,20010110
HRV,CROAT,BK02,srp,SERBS,BK02,"Susica, Republika Srpska, Bosnia-Herzegovina",BK02,2001,20010222
IRQ,IRAQI,IZ05,GOV,MINIST,IZ05,"Halabja, As Sulaymaniyah, Iraq",IZ05,2001,20010919
IRQGOV,IRAQI,IZ13,,,,"Kirkuk, At Ta'mim, Iraq",IZ13,2001,20011229
MKDGOV,MACEDONIAN,MK00,MED,SPOKESMAN,MK00,"Skopje, Macedonia (general), Macedonia",MK00,2001,20010725
NGALEG,NIGERIA,NI26,CVL,ETHNIC GROUP,NI26,United States,US,2001,20011026
IDN,KALIMANTAN,ID12,,,,"South Kalimantan, Kalimantan Selatan, Indonesia",ID12,2001,20010228
CVL,MINORITIES,PK05,,,,"Kathwari, Sindh, Pakistan",PK05,2001,20010808
ARM,ARMENIA,AM,ARMCVL,ARMENIA,AM,Armenia,AM,2001,20011114
AZE,AZERBAIJANI,AJ00,AZECVL,AZERBAIJAN,AJ00,"Nagornyy Karabakh, Azerbaijan (general), Azerbaijan",AJ00,2001,20010428
IRQ,IRAQI,IZ11,IRN,KURDISTAN,IZ11,"Nazanin, Liwa' Irbil, Iraq",IZ11,2001,20010328
,,,EUR,EUROPEAN,ZI05,"Mashonaland West, Mashonaland West, Zimbabwe",ZI05,2001,20010817
MKD,MACEDONIA,AL,ALB,ALBANIAN,AL,Albania,AL,2001,20010503
GOV,GOVERNMENT,BK02,,,,"Prijedor, Republika Srpska, Bosnia-Herzegovina",BK02,2001,20010715
LEG,PARLIAMENTARIAN,NI26,NGA,NIGERIA,NI26,"Taraba State, Taraba, Nigeria",NI43,2001,20011026
