Actor1Code,Actor1Name,Actor1Geo_ADM1Code,Actor2Code,Actor2Name,Actor2Geo_ADM1Code,ActionGeo_FullName,ActionGeo_ADM1Code,Year,SQLDATE
MKD,MACEDONIA,MJ,ALB,ALBANIAN,RB00,"Belgrade, Serbia (general),",RB00,2001,20010227
SCGSRB,SERBIA,RI,,,,"Belgrade, Serbia (general),",RB00,2001,20011123
HRV,CROATIAN,HR,,,,Croatia,HR,2001,20010921
srp,SERBS,RB,,,,Israel,IS,2001,20011215
BLR,MINSK,BO00,AZE,AZERBAIJAN,AJ00,"Nagornyy Karabakh, Azerbaijan (general), Azerbaijan",AJ00,2001,20010713
MKD,MACEDONIA,NL,,,,Netherlands,NL,2001,20010627
EGY,EGYPT,EG11,ISR,ISRAEL,IS,Belgium,BE,2001,20010717
ALB,ALBANIAN,AL,ALBRAD,ALBANIA,AL,Albania,AL,2001,20010710
HRV,CROAT,HR,USA,UNITED STATES,US,Croatia,HR,2001,20010930
ISR,ISRAEL,IS02,,,,"Yibna, HaMerkaz, Israel",IS02,2001,20010830
JUD,TRIBUNAL,RB,GOV,SECURITY COUNCIL,RB,,RB,2001,20010222
TUR,TURK,TU,,,,Turkey,TU,2001,20010902
ALB,ALBANIAN,AL45,SCGSRB,SERBIA,AL45,"Elez, GjirokastëAL, Albania",AL45,2001,20010104
NLD,THE HAGUE,BK02,COP,PRISON,BK02,,YI,2001,20010731
HRV,CROATIA,HR21,,,,,RB,2001,20010716
NLDJUD,THE HAGUE,RB,,,,,RB,2001,20010109
GOV,PRESIDENT,RB,,,,,RB,2001,20010109
ALBCVL,ALBANIAN,AL47,CVL,VILLAGE,MK00,"Skopje, Macedonia (general), Macedonia",MK00,2001,20010712
MKD,MACEDONIA,MK00,,,,"Skopje, Macedonia (general), Macedonia",MK00,2001,20010322
ALBREB,ALBANIA,MKE8,MKD,MACEDONIA,MKE8,"Tetovo, Tetovo, Macedonia",MKE8,2001,20010322
MOS,MUSLIM,RB00,srp,SERBS,BK01,"Sarajevo, Federation of Bosnia and Herzegovina, Bosnia-Herzegovina",BK01,2001,20010110
che,CHECHEN,RS17,,,,"Chechen, Dagestan, Russia",RS17,2001,20010224
GOV,PRESIDENT,BK,,,,,RB,2001,20010110
NLD,THE HAGUE,BK,BEL,BRUSSELS,RB00,"Belgrade, Serbia (general),",RB00,2001,20010629
CVL,RESIDENTS,RSCI,RUS,RUSSIA,RSJA,"Sernovodsk, RSJA, Russia",RSJA,2001,20010713
TUR,TURKISH,CY,CYP,CYPRIOT,CY,Cyprus,CY,2001,20010322
CVL,VILLAGE,FI,,,,Finland,FI,2001,20010226
ALB,ALBANIAN,MK,,,,Macedonia,MK,2001,20010523
pus,PASHTUN,AF10,,,,"Hazaras, Helmand, Afghanistan",AF10,2001,20010228
MOS,MUSLIM,BM17,,,,"Arakan, Yangon, Myanmar",BM17,2001,20010219
ISR,ISRAEL,IS,,,,Israel,IS,2001,20010717
JEW,JEWISH,US,CVL,POPULATION,US,United States,US,2001,20010810
CRMJUD,CRIMINAL,YI,,,,"Srebrenica, Republika Srpska, Bosnia-Herzegovina",BK02,2001,20010626
GRC,GREEK,CH22,CYP,CYPRIOT,CH22,"Beijing, Beijing, China",CH22,2001,20010321
GOVHRI,HUMAN RIGHTS COMMISSION,ID13,,,,"Sampit, Kalimantan Tengah, Indonesia",ID13,2001,20010224
PAK,PAKISTANI,PK03,CVL,COMMUNITY,PK03,"Jammu, North-West Frontier, Pakistan",PK03,2001,20010924
MOS,MUSLIM,BK02,HRVCVL,CROATIA,RB,Croatia,HR,2001,20010507
PSE,PALESTINIAN,IS00,,,,"Jerusalem, Israel (general), Israel",IS00,2001,20010312
RUS,MOSCOW,RS48,RUSMIL,RUSSIAN,RS48,"Moscow, Moskva, Russia",RS48,2001,20010224
RWA,RWANDA,BY,BDI,BURUNDI,BY,Burundi,BY,2001,20010105
JEW,JEWISH,IS00,,,,"Jerusalem, Israel (general), Israel",IS00,2001,20010822
IRQ,IRAQI,IZ05,kur,KURD,IZ05,"Halabjah, As Sulaymaniyah, Iraq",IZ05,2001,20010731
CVL,POPULATION,KE02,,,,"Mombasa, Coast, Kenya",KE02,2001,20010114
CVL,VILLAGE,MKE8,,,,"Tetovo, Tetovo, Macedonia",MKE8,2001,20010725
